Task,Records added,Records retired,Geoportal Link
[2024-07-16 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/663),291,166,
[2024-07-23 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/665),251,228,
[Wisconsin parcels 2024](https://github.com/geobtaa/metadata/issues/662),115,0,https://geo.btaa.org/?f%5Bdct_spatial_sm%5D%5B%5D=Wisconsin&f%5Bschema_provider_s%5D%5B%5D=UW-Madison+Robinson+Map+Library&q=&search_field=all_fields&sort=date_created_dtsi+desc
[2024-07-02 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/660),100,155,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=194&publication_state=%2A
[Minnesota Geospatial Commons 05a-01 July 2024](https://github.com/geobtaa/metadata/issues/629),0,0,
[Socrata harvest Q3 2024](https://github.com/geobtaa/metadata/issues/634),0,0,
